id_municipio;População total urbana;Volume produzido (1000 m³);Volume coletado (1000 m³);Volume tratado (1000 m³);Relação coletado/produzido;Relação tratado/coletado;Relação tratado/produzido;Ano;Possui dado interpolado
1152;4146;196.73;0.0;0.0;0.0;0.0;0.0;2021;False
1153;14296;678.35;0.0;0.0;0.0;0.0;0.0;2021;False
1154;3321;157.58;0.0;0.0;0.0;0.0;0.0;2021;False
1155;6225;295.38;0.0;0.0;0.0;0.0;0.0;2021;False
1156;31611;1499.94;521.36;521.36;0.35;1.0;0.35;2021;False
1157;3133;148.66;0.0;0.0;0.0;0.0;0.0;2021;False
1158;27010;1281.62;1303.81;1303.79;1.02;1.0;1.02;2021;False
1159;2150;102.02;0.0;0.0;0.0;0.0;0.0;2021;False
1160;3230;153.26;0.0;0.0;0.0;0.0;0.0;2021;False
1161;2338;110.94;0.0;0.0;0.0;0.0;0.0;2021;False
1162;9228;437.87;168.0;164.7;0.38;0.98;0.38;2021;False
1163;9921;470.75;572.88;572.88;1.22;1.0;1.22;2021;False
1164;2849;135.19;0.0;0.0;0.0;0.0;0.0;2021;False
1165;9245;438.68;0.0;0.0;0.0;0.0;0.0;2021;False
1166;1927;91.44;0.0;0.0;0.0;0.0;0.0;2021;False
1167;22159;1051.44;944.62;944.62;0.9;1.0;0.9;2021;False
1168;9174;435.31;0.0;0.0;0.0;0.0;0.0;2021;False
1169;22769;1080.39;0.0;0.0;0.0;0.0;0.0;2021;False
1170;28810;1367.03;548.49;548.49;0.4;1.0;0.4;2021;False
1171;82475;3913.44;2731.19;2731.19;0.7;1.0;0.7;2021;False
1172;16161;766.84;780.54;780.54;1.02;1.0;1.02;2021;False
1173;41412;1965.0;808.04;808.04;0.41;1.0;0.41;2021;False
1174;3592;170.44;0.0;0.0;0.0;0.0;0.0;2021;False
1175;3640;172.72;0.0;0.0;0.0;0.0;0.0;2021;False
1176;34241;1624.74;934.9;934.82;0.58;1.0;0.58;2021;False
1177;2899;137.56;0.0;0.0;0.0;0.0;0.0;2021;False
1178;46339;2198.79;2359.61;2359.61;1.07;1.0;1.07;2021;False
1179;9896;469.57;0.0;0.0;0.0;0.0;0.0;2021;False
1180;4362;206.98;0.0;0.0;0.0;0.0;0.0;2021;False
1181;4268;202.52;120.0;120.0;0.59;1.0;0.59;2021;False
1182;223250;10593.21;9567.86;9567.84;0.9;1.0;0.9;2021;False
1183;18068;857.33;701.72;701.72;0.82;1.0;0.82;2021;False
1184;6889;326.88;214.74;214.25;0.66;1.0;0.66;2021;False
1185;6050;287.07;0.0;0.0;0.0;0.0;0.0;2021;False
1186;2511;119.15;0.0;0.0;0.0;0.0;0.0;2021;False
1187;5042;239.24;0.0;0.0;0.0;0.0;0.0;2021;False
1188;35178;1669.2;2134.8;2134.31;1.28;1.0;1.28;2021;False
1189;3449;163.66;0.0;0.0;0.0;0.0;0.0;2021;False
1190;8225;390.28;0.0;0.0;0.0;0.0;0.0;2021;False
